people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
9190,"Connie Mack",Connie,,Mack,,,2,R,1,Rep,HD-FL-14,89991,53996,N00026425,Connie_Mack,209540,0
9191,"Kenny Marchant",Kenny,,Marchant,,,2,R,1,Rep,HD-TX-24,13007002,5549,N00026710,Kenny_Marchant,199221,0
9192,"Michael McCaul",Michael,T.,McCaul,,,2,R,1,Rep,HD-TX-10,15456789,49210,N00026460,Michael_McCaul,226551,0
9193,"Cathy McMorris Rodgers",Cathy,,"McMorris Rodgers",,,2,R,1,Rep,HD-WA-5,2941046,3217,N00026314,Cathy_McMorris_Rodgers,199779,0
9194,"Jeff Miller",Jeff,,Miller,,,2,R,1,Rep,HD-FL-1,17657833,17276,N00013846,Jeff_Miller_(Nevada),209116,0
9195,"Randy Neugebauer",Randy,,Neugebauer,,,2,R,1,Rep,HD-TX-19,17658627,49522,N00026043,Randy_Neugebauer,216187,0
9196,"Ron Paul",Ron,,Paul,,,2,R,1,Rep,HD-TX-14,0,296,N00005906,Ron_Paul,159084,0
9197,"Bill Posey",Bill,,Posey,,,2,R,1,Rep,HD-FL-8,12998616,24280,N00029662,Bill_Posey,193543,0
9199,"David Reichert",David,G.,Reichert,,,2,R,1,Rep,HD-WA-8,3576336,51346,N00026885,Dave_Reichert,226565,0
9200,"Pete Sessions",Pete,,Sessions,,,2,R,1,Rep,HD-TX-32,10838573,288,N00005681,Pete_Sessions,159075,0
9201,"Adam Smith",Adam,,Smith,,,1,D,1,Rep,HD-WA-9,17658734,845,N00007833,Adam_Smith_(Washington),159125,0
9202,"Lamar Smith",Lamar,,Smith,,,2,R,1,Rep,HD-TX-21,17658727,27097,N00001811,Lamar_Smith,159091,0
9203,"Cliff Stearns",Cliff,,Stearns,,,2,R,1,Rep,HD-FL-6,17658768,26803,N00002782,Cliff_Stearns,158789,0
9205,"C.W. Young",C.W.,Bill,Young,,,2,R,1,Rep,HD-FL-13,0,0,N00001817,C._W._Bill_Young,158793,0
9206,"Roscoe Bartlett",Roscoe,G.,Bartlett,,,2,R,1,Rep,HD-MD-6,17658041,26891,N00002017,Roscoe_Bartlett,158890,0
9207,"Rodney Alexander",Rodney,,Alexander,,,2,R,1,Rep,HD-LA-5,6423437,4545,N00025464,Rodney_Alexander_(North_Carolina),194908,0
9208,"Michele Bachmann",Michele,,Bachmann,,,2,R,1,Rep,HD-MN-6,6597408,54675,N00027493,Michele_Bachmann,208800,0
9209,"Gus Bilirakis",Gus,M.,Bilirakis,,,2,R,1,Rep,HD-FL-12,12998704,17318,N00027462,Gus_Bilirakis,193559,0
9210,"John Boozman",John,,Boozman,,,2,R,2,Sen,HD-AR-3,9687692,27958,N00013873,John_Boozman,209930,0
9211,"Ken Calvert",Ken,,Calvert,,,2,R,1,Rep,HD-CA-42,2378663,26777,N00007099,Ken_Calvert,158760,0
9212,"Shelley Capito",Shelley,Moore,Capito,,,2,R,1,Rep,HD-WV-2,6651319,11701,N00009771,Shelley_Moore_Capito,200084,0
9213,"Tom Cole",Tom,,Cole,,,2,R,1,Rep,HD-OK-4,14964187,46034,N00025726,Tom_Cole_(Oklahoma),211693,0
9214,"John Fleming",John,,Fleming,,,2,R,1,Rep,HD-LA-4,17660695,108811,N00029679,John_Fleming_(Louisiana),266860,0
9215,"Jeff Fortenberry",Jeff,,Fortenberry,,,2,R,1,Rep,HD-NE-1,17658605,41929,N00026631,Jeff_Fortenberry,226527,0
9216,"Robert Latta",Robert,E.,Latta,,,2,R,1,Rep,HD-OH-5,3428798,9926,N00012233,Bob_Latta,209172,0
9217,"Tom McClintock",Tom,,McClintock,,,2,R,1,Rep,HD-CA-4,2481759,9715,N00006863,Tom_McClintock,193067,0
9218,"Thaddeus McCotter",Thaddeus,G.,McCotter,,,2,R,1,Rep,HD-MI-11,2000113,19847,N00013808,Thaddeus_McCotter,195609,0
9219,"John Mica",John,L.,Mica,,,2,R,1,Rep,HD-FL-7,16307740,26805,N00002793,John_Mica,158790,0
9220,"Mike D. Rogers",Mike,D.,Rogers,,,2,R,1,Rep,HD-AL-3,6571477,5705,N00024759,Mike_Rogers_(Alabama),192661,0
9222,"Michael Simpson",Michael,K.,Simpson,,,2,R,1,Rep,HD-ID-2,7913824,2917,N00006263,Michael_Simpson_(Idaho),158827,0
9223,"Geoff Davis",Geoff,,Davis,,,2,R,1,Rep,HD-KY-4,17927924,35212,N00024862,Geoff_Davis,226514,0
9224,"Mary Bono Mack",Mary,,"Bono Mack",,,2,R,1,Rep,HD-CA-45,17658759,1434,N00007068,Mary_Bono_Mack,158761,0
9225,"Mike Coffman",Mike,,Coffman,,,2,R,1,Rep,HD-CO-6,12998053,1535,N00024753,Mike_Coffman_(Colorado),251692,0
9226,"David Dreier",David,,Dreier,,,2,R,1,Rep,HD-CA-26,19889190,26765,N00006932,David_Dreier,158745,0
